,loss
0,0.0009421156719326973
1,0.0007768968935124576
2,0.0006759697571396828
3,0.0005695700529031456
4,0.0005113016813993453
5,0.0004554222978185861
6,0.00042844840208999807
7,0.00037807432818226505
8,0.0004224707081448285
9,0.00034384382888674725
10,0.0003386148600839078
11,0.00032125608413480217
12,0.000265836133621633
13,0.0003015496768057346
14,0.0002586606424301861
15,0.0003236531629227102
16,0.000276755541563034
17,0.00025105310487560917
18,0.00026352406712248905
19,0.0002760164206847547
20,0.0002546010073274373
21,0.00024070742074400176
22,0.00021850460325367735
23,0.00023488925944548087
24,0.00023485763813368965
25,0.00025071023264899844
26,0.0002133068337570875
27,0.000260830798652023
28,0.00026562309358268965
29,0.00023578746186103672
30,0.00023158876865636544
31,0.00023108682944439335
32,0.0002140719298040494
33,0.00019562295346986483
34,0.00019483160576783104
35,0.00022769909992348397
36,0.00018776883371174335
37,0.00020215612312313164
38,0.00022566068219020957
39,0.00021390458277892305
40,0.0001876276655821129
41,0.00018413597717881192
42,0.00017926283180713654
43,0.0002042897831415756
44,0.00021043732704129062
45,0.000246568291913718
46,0.00019210521713830528
47,0.00018607491801958515
48,0.0001697083207545801
49,0.0001972352329175918
50,0.0001703870075289158
51,0.00018408792675472793
52,0.00018608516256790605
53,0.00023089442402124394
54,0.00019657585653476406
55,0.00022819572768639765
56,0.0001657421671552582
57,0.00017713503621052948
58,0.00018803837883751837
59,0.00015619304031133652
60,0.00014030745660420507
61,0.0001583823177497834
62,0.0002021930704358965
63,0.00015287153655663125
64,0.00018260505748912676
65,0.00013462961942423124
66,0.00019887811504304395
67,0.00014585121243726446
68,0.0001583731645951047
69,0.00013938493793830273
70,0.0001459224004065617
71,0.00012130639515817149
72,0.00017177678819280118
73,0.00014137501420918847
74,0.00014387691044248632
75,0.00017498566012363867
76,0.00015930841618683184
77,0.00015010537754278614
78,0.0002192912943428381
79,0.00016736936231609434
80,0.00017216525156982227
81,0.0001554732589283957
82,0.00012879126006737343
83,0.00014575035311281678
84,0.00016593343752901993
85,0.00015058217104524374
86,0.0001609657192602752
87,0.00016526566469110546
88,0.00013320986181497558
89,0.000126004306366667
90,0.00015178546891547734
91,0.0001412303390679881
92,0.00015102885663509355
93,0.00013239607505965978
94,0.00016139511717483399
95,0.00018420501146465526
96,0.00019579476793296622
97,0.00014887095312587911
98,0.00019999634241685255
99,0.00013511008000932618
100,0.00015199853805825098
101,0.00018891945364885019
102,0.00014525229926221054
103,0.00017390608263667657
104,0.00012193484872113907
105,0.00015124210040085
106,0.000150337946251966
107,0.00014838119386695312
108,0.00015306675049941973
109,0.00016925274394452558
110,0.00011060561519116152
111,0.00014224243932403613
112,0.00018302681564819062
113,0.0001171855255961418
114,0.0001742820022627711
115,0.00013579339429270468
116,0.00017188924539368594
117,0.00015015876851975918
118,0.0001298354472965002
119,0.0001516318297944963
120,0.00019506257376633574
121,0.00011589822679525234
122,0.00017400342039763925
123,0.00015150051331147538
124,0.0001248073385795578
125,0.00015855606761760996
126,0.00020712775585707266
127,0.00019425431673880664
128,0.00021044211462140078
129,0.00010806702630361523
130,0.00015777477528899903
131,0.00013389188097789884
132,0.0001440903724869713
133,0.0001332691026618703
134,0.00017114327056333417
135,0.00011335914314258829
136,0.00015762342081870878
137,0.00012692548625636835
138,0.00015737008652649804
139,0.00018985841597896056
140,0.00015710985462646915
141,0.00011736847227439278
142,0.00020413889433257266
143,0.00014405275578610585
144,0.00011867825378430996
145,0.00017552175268065176
146,0.00011219369480386367
147,0.00016647338634356856
148,0.0001678350381553172
149,0.0001554897753521799
150,0.0001586130383657291
151,0.00012598675675690155
152,0.00013005030632484688
153,0.0001587403821758926
154,0.00012893302482552813
155,0.00015158586029428983
156,0.0001969886216102168
157,0.0001590648607816547
158,0.0001295132533414289
159,0.00011049387103412285
160,0.0001415217266185209
161,0.0001438156032236293
162,0.00014928242308087636
163,0.00011590323265409082
164,0.0001276115071959793
165,0.00017627156921662382
166,0.0001263547164853662
167,0.00014966828166507168
168,0.0001336651475867256
169,0.00012723410327453164
170,0.0001584531419211998
171,0.00016257882816717012
172,0.00011857694335049003
173,0.00012401447747834024
174,0.00011738072498701503
175,0.00012095156125724297
176,0.0001189007743960246
177,0.00015464593889191739
178,0.0001312714448431506
179,0.00010414575081085781
180,0.00017338921315968029
181,0.0001409903052262961
182,0.00012322215479798612
183,0.0001373606792185455
184,0.00012933887774124725
185,0.00014294455468188966
186,0.00012925162445753807
187,0.00011516911035869258
188,0.00012196907482575625
189,0.00016422364569734766
190,0.00013350718654692168
191,7.053483568597578e-05
192,0.00012997997691854824
193,0.0001762022147886455
194,0.00014786524116061622
195,9.741628309711796e-05
196,0.00014115663361735626
197,0.00012561058974824843
198,0.00013406464131548984
199,0.00016281841089949004
